rank	token	freq
1 	 und 	 2611
2 	 die 	 2292
3 	 der 	 1845
4 	 nicht 	 1651
5 	 zu 	 1635
6 	 er 	 1540
7 	 es 	 1494
8 	 sie 	 1345
9 	 sich 	 1128
10 	 in 	 1077
11 	 den 	 1017
12 	 ich 	 981
13 	 das 	 978
14 	 aber 	 966
15 	 K. 	 944
16 	 daß 	 886
17 	 war 	 822
18 	 mit 	 821
19 	 ist 	 761
20 	 sagte 	 755
21 	 ein 	 740
22 	 auch 	 723
23 	 - 	 698
24 	 nur 	 650
25 	 von 	 646
26 	 dem 	 638
27 	 auf 	 601
28 	 als 	 586
29 	 Sie 	 570
30 	 wie 	 569
31 	 noch 	 546
32 	 so 	 539
33 	 im 	 500
34 	 du 	 499
35 	 ihn 	 459
36 	 man 	 447
37 	 wenn 	 444
38 	 doch 	 431
39 	 eine 	 429
40 	 für 	 413
41 	 an 	 388
42 	 ihm 	 388
43 	 schon 	 357
44 	 des 	 348
45 	 um 	 336
46 	 hatte 	 322
47 	 mich 	 311
48 	 wir 	 302
49 	 dann 	 295
50 	 aus 	 295
51 	 Frieda 	 295
52 	 sehr 	 294
53 	 denn 	 289
54 	 hier 	 281
55 	 was 	 278
56 	 mir 	 273
57 	 ja 	 273
58 	 ihr 	 260
59 	 K., 	 252
60 	 Und 	 252
61 	 vor 	 243
62 	 durch 	 242
63 	 einen 	 236
64 	 mehr 	 231
65 	 wieder 	 230
66 	 bei 	 230
67 	 gar 	 228
68 	 Klamm 	 228
69 	 nach 	 226
70 	 alles 	 224
71 	 war, 	 223
72 	 einem 	 222
73 	 habe 	 212
74 	 zum 	 210
75 	 selbst 	 207
76 	 hat 	 207
77 	 oder 	 202
78 	 immer 	 201
79 	 Es 	 197
80 	 über 	 195
81 	 vielleicht 	 186
82 	 uns 	 186
83 	 kann 	 185
84 	 sind 	 183
85 	 jetzt 	 183
86 	 nun 	 180
87 	 nichts 	 179
88 	 Barnabas 	 167
89 	 einer 	 166
90 	 nicht, 	 165
91 	 etwas 	 164
92 	 wenig 	 159
93 	 Aber 	 158
94 	 dich 	 158
95 	 dort 	 157
96 	 sei 	 157
97 	 hätte 	 156
98 	 dir 	 154
99 	 ist, 	 153
100 	 diese 	 152
101 	 seine 	 148
102 	 Das 	 147
103 	 fragte 	 146
104 	 sondern 	 146
105 	 ohne 	 143
106 	 einmal 	 141
107 	 sein 	 140
108 	 keine 	 136
109 	 Ich 	 132
110 	 waren 	 128
111 	 werde 	 128
112 	 also 	 128
113 	 ganz 	 127
114 	 hatte, 	 126
115 	 ihre 	 125
116 	 haben 	 124
117 	 gleich 	 124
118 	 wohl 	 124
119 	 Wirtin 	 122
120 	 Gehilfen 	 120
121 	 Schloß 	 118
122 	 Die 	 118
123 	 am 	 117
124 	 Herr 	 115
125 	 seiner 	 114
126 	 »Ich 	 113
127 	 Er 	 111
128 	 da 	 111
129 	 alle 	 111
130 	 fast 	 110
131 	 wird 	 109
132 	 viel 	 109
133 	 konnte 	 106
134 	 -, 	 106
135 	 kein 	 105
136 	 sein, 	 104
137 	 dieser 	 103
138 	 wäre 	 103
139 	 Amalia 	 103
140 	 werden 	 102
141 	 gegen 	 102
142 	 weil 	 99
143 	 er, 	 97
144 	 vom 	 97
145 	 meine 	 96
146 	 ins 	 93
147 	 sah 	 91
148 	 damit 	 90
149 	 Der 	 89
150 	 unter 	 88
151 	 allerdings 	 87
152 	 ihnen 	 87
153 	 mußte 	 86
154 	 dieses 	 86
155 	 schien 	 85
156 	 gewiß 	 85
157 	 Frieda, 	 85
158 	 muß 	 84
159 	 bin 	 84
160 	 ihrer 	 84
161 	 Arbeit 	 84
162 	 Vater 	 83
163 	 wollte 	 82
164 	 Ihnen 	 82
165 	 wahrscheinlich 	 81
166 	 Zimmer 	 79
167 	 K.s 	 78
168 	 zur 	 78
169 	 anderen 	 78
170 	 freilich 	 77
171 	 seinen 	 77
172 	 gerade 	 77
173 	 andere 	 76
174 	 sogar 	 76
175 	 kam 	 76
176 	 so, 	 76
177 	 würde 	 76
178 	 sie, 	 76
179 	 hat, 	 76
180 	 zwar 	 75
181 	 ob 	 75
182 	 Tür 	 75
183 	 sonst 	 75
184 	 Klamms 	 74
185 	 ihren 	 73
186 	 eines 	 72
187 	 beim 	 71
188 	 wurde 	 71
189 	 bis 	 71
190 	 weiß 	 71
191 	 es, 	 69
192 	 wenigstens 	 69
193 	 Herrn 	 69
194 	 Wenn 	 69
195 	 will 	 69
196 	 niemals 	 69
197 	 kaum 	 68
198 	 wirklich 	 66
199 	 lange 	 66
200 	 Zeit 	 65
201 	 hast 	 65
202 	 erst 	 64
203 	 nicht. 	 63
204 	 wegen 	 63
205 	 haben, 	 62
206 	 Sache 	 62
207 	 Was 	 62
208 	 warum 	 62
209 	 Pepi 	 62
210 	 Mann 	 61
211 	 während 	 61
212 	 sich, 	 60
213 	 wo 	 60
214 	 Augen 	 59
215 	 rief 	 59
216 	 an, 	 59
217 	 gewesen 	 59
218 	 damals 	 59
219 	 ging 	 58
220 	 etwa 	 58
221 	 natürlich 	 58
222 	 Lehrer 	 58
223 	 allen 	 58
224 	 Nun 	 57
225 	 Frau 	 57
226 	 diesen 	 57
227 	 allem 	 57
228 	 Brief 	 57
229 	 Wirt 	 56
230 	 offenbar 	 56
231 	 eigentlich 	 56
232 	 Diener 	 56
233 	 Olga 	 56
234 	 diesem 	 55
235 	 können, 	 55
236 	 ich, 	 55
237 	 war. 	 55
238 	 deshalb 	 54
239 	 seinem 	 54
240 	 Friedas 	 54
241 	 habe, 	 53
242 	 welche 	 53
243 	 Mutter 	 53
244 	 »Sie 	 52
245 	 »Das 	 52
246 	 »Es 	 52
247 	 völlig 	 52
248 	 ihrem 	 52
249 	 Herren 	 51
250 	 Hand 	 51
251 	 dies 	 51
252 	 Dann 	 50
253 	 solche 	 50
254 	 überhaupt 	 50
255 	 immerfort 	 50
256 	 dessen 	 50
257 	 dabei 	 50
258 	 kommen 	 49
259 	 Wirtin, 	 49
